AAEN-1,10000,AAEN
AAEN-2,10001,AAEN
AAEN-3,10002,AAEN
AAEN-4,10003,AAEN
AAEN-5,10100,AAEN
AAEN-6,10101,AAEN
AAEN-7,10105,AAEN
AAEN-8,10106,AAEN
AAEN-9,10113,AAEN
AAEN-10,10117,AAEN
AAEN-11,10119,AAEN
AAEN-12,10120,AAEN
AAEN-13,10121,AAEN
AAEN-14,10123,AAEN
AAEN-15,10129,AAEN
AAEN-16,10131,AAEN
AAEN-17,10132,AAEN
AAEN-18,10133,AAEN
AAEN-19,10135,AAEN
AAEN-20,10136,AAEN
AAEN-21,10139,AAEN
AAEN-22,10140,AAEN
AAEN-23,10141,AAEN
AAEN-24,10145,AAEN
AAEN-25,10146,AAEN
AAEN-26,10149,AAEN
AAEN-27,10150,AAEN
AAEN-28,10151,AAEN
AAEN-29,10152,AAEN
AAEN-30,10156,AAEN
AAEN-31,10161,AAEN
AAEN-32,10162,AAEN
AAEN-33,10163,AAEN
AAEN-34,10165,AAEN
AAEN-35,10167,AAEN
AAEN-36,10168,AAEN
AAEN-37,10169,AAEN
AAEN-38,10170,AAEN
AAEN-39,10171,AAEN
AAEN-40,10172,AAEN
AAEN-41,10174,AAEN
AAEN-42,10175,AAEN
AAEN-43,10178,AAEN
AAEN-44,10180,AAEN
AAEN-45,10183,AAEN
AAEN-46,10186,AAEN
AAEN-47,10187,AAEN
AAEN-48,10188,AAEN
AAEN-49,10189,AAEN
AAEN-50,10191,AAEN
AAEN-51,10192,AAEN
AAEN-52,10195,AAEN
AAEN-53,10198,AAEN
AAEN-54,10205,AAEN
AAEN-55,10206,AAEN
AAEN-56,10207,AAEN
AAEN-57,10210,AAEN
AAEN-58,10212,AAEN
AAEN-59,10213,AAEN
BAES-1,10004,BAES
BAES-2,10005,BAES
BAES-3,10006,BAES
BAES-4,10007,BAES
BAES-5,10102,BAES
BAES-6,10103,BAES
BAES-7,10104,BAES
BAES-8,10107,BAES
BAES-9,10108,BAES
BAES-10,10109,BAES
BAES-11,10110,BAES
BAES-12,10111,BAES
BAES-13,10112,BAES
BAES-14,10114,BAES
BAES-15,10115,BAES
BAES-16,10116,BAES
BAES-17,10118,BAES
BAES-18,10122,BAES
BAES-19,10124,BAES
BAES-20,10125,BAES
BAES-21,10126,BAES
BAES-22,10127,BAES
BAES-23,10128,BAES
BAES-24,10130,BAES
BAES-25,10134,BAES
BAES-26,10137,BAES
BAES-27,10138,BAES
BAES-28,10142,BAES
BAES-29,10143,BAES
BAES-30,10144,BAES
BAES-31,10147,BAES
BAES-32,10148,BAES
BAES-33,10153,BAES
BAES-34,10154,BAES
BAES-35,10155,BAES
BAES-36,10157,BAES
BAES-37,10158,BAES
BAES-38,10159,BAES
BAES-39,10160,BAES
BAES-40,10164,BAES
BAES-41,10166,BAES
BAES-42,10173,BAES
BAES-43,10176,BAES
BAES-44,10177,BAES
BAES-45,10179,BAES
BAES-46,10181,BAES
BAES-47,10182,BAES
BAES-48,10184,BAES
BAES-49,10185,BAES
BAES-50,10190,BAES
BAES-51,10193,BAES
BAES-52,10194,BAES
BAES-53,10196,BAES
BAES-54,10197,BAES
BAES-55,10199,BAES
BAES-56,10200,BAES
BAES-57,10201,BAES
BAES-58,10202,BAES
BAES-59,10203,BAES
BAES-60,10204,BAES
BAES-61,10208,BAES
BAES-62,10209,BAES
BAES-63,10211,BAES
