text ~ "muv*" order by key
text ~ "rbd*" order by key
text ~ "sfv*" order by key
text ~ "rno*" order by key
text ~ "mlv*" order by key
text ~ "lff*" order by key
text ~ "byr*" order by key
text ~ "lju*" order by key
text ~ "bip*" order by key
text ~ "oif*" order by key
text ~ "mhj*" order by key
text ~ "lbl*" order by key
text ~ "yhd*" order by key
text ~ "dxd*" order by key
text ~ "grv*" order by key
text ~ "wfp*" order by key
text ~ "nua*" order by key
text ~ "bhf*" order by key
text ~ "ysy*" order by key
text ~ "csa*" order by key
text ~ "glx*" order by key
text ~ "ble*" order by key
text ~ "ept*" order by key
text ~ "nod*" order by key
text ~ "cmv*" order by key
text ~ "ufh*" order by key
text ~ "fmo*" order by key
text ~ "wqi*" order by key
text ~ "jtj*" order by key
text ~ "wpo*" order by key
text ~ "sri*" order by key
text ~ "pdi*" order by key
text ~ "ows*" order by key
text ~ "kkt*" order by key
text ~ "xze*" order by key
text ~ "kvq*" order by key
text ~ "ipc*" order by key
text ~ "tqj*" order by key
text ~ "hnt*" order by key
text ~ "hlx*" order by key
text ~ "pzo*" order by key
text ~ "mal*" order by key
text ~ "yhp*" order by key
text ~ "zhe*" order by key
text ~ "rsf*" order by key
text ~ "mei*" order by key
text ~ "qjt*" order by key
text ~ "kxp*" order by key
text ~ "yco*" order by key
text ~ "cfc*" order by key
text ~ "jpa*" order by key
text ~ "pki*" order by key
text ~ "xuc*" order by key
text ~ "boa*" order by key
text ~ "upk*" order by key
text ~ "ikf*" order by key
text ~ "tek*" order by key
text ~ "eaw*" order by key
text ~ "dpu*" order by key
text ~ "pfw*" order by key
text ~ "ipi*" order by key
text ~ "mai*" order by key
text ~ "ust*" order by key
text ~ "gzh*" order by key
text ~ "osw*" order by key
text ~ "sjb*" order by key
text ~ "sjz*" order by key
text ~ "mch*" order by key
text ~ "akk*" order by key
text ~ "ktb*" order by key
text ~ "mva*" order by key
text ~ "pnu*" order by key
text ~ "pnf*" order by key
text ~ "cxp*" order by key
text ~ "egq*" order by key
text ~ "ywb*" order by key
text ~ "prt*" order by key
text ~ "atf*" order by key
text ~ "onz*" order by key
text ~ "xrh*" order by key
text ~ "duv*" order by key
text ~ "lbt*" order by key
text ~ "lav*" order by key
text ~ "khy*" order by key
text ~ "bdt*" order by key
text ~ "ugh*" order by key
text ~ "hdx*" order by key
text ~ "cik*" order by key
text ~ "fzc*" order by key
text ~ "uzz*" order by key
text ~ "lmd*" order by key
text ~ "zsz*" order by key
text ~ "cih*" order by key
text ~ "dgc*" order by key
text ~ "kvj*" order by key
text ~ "cjy*" order by key
text ~ "erv*" order by key
text ~ "ikf*" order by key
text ~ "iya*" order by key
text ~ "mlw*" order by key
text ~ "zmv*" order by key
text ~ "esn*" order by key
text ~ "kbt*" order by key
text ~ "kob*" order by key
text ~ "dgv*" order by key
text ~ "vec*" order by key
text ~ "nzi*" order by key
text ~ "fod*" order by key
text ~ "fzj*" order by key
text ~ "vfh*" order by key
text ~ "ihr*" order by key
text ~ "vje*" order by key
text ~ "bqh*" order by key
text ~ "rpp*" order by key
text ~ "mhs*" order by key
text ~ "uff*" order by key
text ~ "aex*" order by key
text ~ "esm*" order by key
text ~ "mnp*" order by key
text ~ "lsh*" order by key
text ~ "vyo*" order by key
text ~ "ztu*" order by key
text ~ "sje*" order by key
text ~ "cds*" order by key
text ~ "gsd*" order by key
text ~ "uon*" order by key
text ~ "ayy*" order by key
text ~ "mya*" order by key
text ~ "wky*" order by key
text ~ "ulg*" order by key
text ~ "nar*" order by key
text ~ "uzn*" order by key
text ~ "dck*" order by key
text ~ "fcg*" order by key
text ~ "xmy*" order by key
text ~ "hpa*" order by key
text ~ "jeg*" order by key
text ~ "mrt*" order by key
text ~ "rzs*" order by key
text ~ "ovj*" order by key
text ~ "xps*" order by key
text ~ "wlh*" order by key
text ~ "osj*" order by key
text ~ "erx*" order by key
text ~ "lnz*" order by key
text ~ "wdm*" order by key
text ~ "trp*" order by key
text ~ "wat*" order by key
text ~ "zko*" order by key
text ~ "weq*" order by key
